Kanal Kimliği,Kanal URL'si,Kanal Başlığı
UC-69vhXlCa3XHbF8JHCQHfg,http://www.youtube.com/channel/UC-69vhXlCa3XHbF8JHCQHfg,Aya Nakamura
UC-6XptgXNJETX5Obsm-Xzbw,http://www.youtube.com/channel/UC-6XptgXNJETX5Obsm-Xzbw,BigAntVideo
UC-B8dMkAhNNFwFrN1djLE1w,http://www.youtube.com/channel/UC-B8dMkAhNNFwFrN1djLE1w,Volkan Eren
UC-ZA3QN2nDmqOSujn8zvNjw,http://www.youtube.com/channel/UC-ZA3QN2nDmqOSujn8zvNjw,CreativeMornings HQ
UC-ZFVrf5NVlmgZ0hItLT0pg,http://www.youtube.com/channel/UC-ZFVrf5NVlmgZ0hItLT0pg,Comme une Française
UC-lHJZR3Gqxm24_Vd_AJ5Yw,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
UC-lh8H0PDk9mwG0qE3ouX1A,http://www.youtube.com/channel/UC-lh8H0PDk9mwG0qE3ouX1A,Jessica Kent
UC0biFgrMdkv1hFAFLVePODQ,http://www.youtube.com/channel/UC0biFgrMdkv1hFAFLVePODQ,Trixie Mattel
UC0fXeatqirkwNOLAhzl5P7A,http://www.youtube.com/channel/UC0fXeatqirkwNOLAhzl5P7A,MMandLShow
UC0k238zFx-Z8xFH0sxCrPJg,http://www.youtube.com/channel/UC0k238zFx-Z8xFH0sxCrPJg,Architectural Digest
UC0p5jTq6Xx_DosDFxVXnWaQ,http://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist
UC11-q7KlYhNdXtugQCRmhDQ,http://www.youtube.com/channel/UC11-q7KlYhNdXtugQCRmhDQ,Ege & Senem
UC16niRr50-MSBwiO3YDb3RA,http://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,BBC News
UC1nJzvNaB_ql4RHrzgozrQQ,http://www.youtube.com/channel/UC1nJzvNaB_ql4RHrzgozrQQ,READY TO GLARE
UC28FD2v19VZFryIjpvGIFLw,http://www.youtube.com/channel/UC28FD2v19VZFryIjpvGIFLw,Mixed Makeup
UC2Z2dg2peJp9iygjnt6YyiA,http://www.youtube.com/channel/UC2Z2dg2peJp9iygjnt6YyiA,Mary Jane
UC2mv2wEdsVY1Yt2OAQniz0g,http://www.youtube.com/channel/UC2mv2wEdsVY1Yt2OAQniz0g,Frenchy french
UC3_2Y8OTKzRN89VCwfXEL0Q,http://www.youtube.com/channel/UC3_2Y8OTKzRN89VCwfXEL0Q,Georges Brassens
UC3j0NBFog-U6h4g6RYXUkEw,http://www.youtube.com/channel/UC3j0NBFog-U6h4g6RYXUkEw,Hip Shake Fitness
UC4LADtN8xwppFydHUB1s5uA,http://www.youtube.com/channel/UC4LADtN8xwppFydHUB1s5uA,Cosmopolitan
UC4Z8kZhbLYOuEdegrBFO5fA,http://www.youtube.com/channel/UC4Z8kZhbLYOuEdegrBFO5fA,Pargalı İbrahim
UC588ivhdhn3UZhGfFRoGcNg,http://www.youtube.com/channel/UC588ivhdhn3UZhGfFRoGcNg,Nana Garcia
UC5_GAJHZqbpK76DFB0Mw_kA,http://www.youtube.com/channel/UC5_GAJHZqbpK76DFB0Mw_kA,Nina Bo'nina Brown
UC7IcJI8PUf5Z3zKxnZvTBog,http://www.youtube.com/channel/UC7IcJI8PUf5Z3zKxnZvTBog,The School of Life
UC7MgijK9WL_EqCo1juUERwg,http://www.youtube.com/channel/UC7MgijK9WL_EqCo1juUERwg,Don't Tell Comedy
UC8W65a0iLdNun2CEDJ8BbrA,http://www.youtube.com/channel/UC8W65a0iLdNun2CEDJ8BbrA,Caroline Cooper
UC8bEF1b1ulUUQKWCRiKZPVw,http://www.youtube.com/channel/UC8bEF1b1ulUUQKWCRiKZPVw,Jewel Fire Tarot
UC8hgx5hCiyDmO3UeBl95_1Q,http://www.youtube.com/channel/UC8hgx5hCiyDmO3UeBl95_1Q,KhanAcademyTurkce
UC8znPlMzmIIR5G1-GBmQCHA,http://www.youtube.com/channel/UC8znPlMzmIIR5G1-GBmQCHA,Night Club
UC9JMe_We017gYrRc7kZHgmg,http://www.youtube.com/channel/UC9JMe_We017gYrRc7kZHgmg,Show TV
UC9k6s1zbvtnIvF8eJcuVpzw,http://www.youtube.com/channel/UC9k6s1zbvtnIvF8eJcuVpzw,Totally Spies! Français
UC9pO2YNforRbdwKOh09djKA,http://www.youtube.com/channel/UC9pO2YNforRbdwKOh09djKA,Blank on Blank
UC9pVaOtZ8vdLBrlHu5xaaOA,http://www.youtube.com/channel/UC9pVaOtZ8vdLBrlHu5xaaOA,Paul Taylor - Canal Plus
UC9yudInUYzMh9H4gJs4DrHg,http://www.youtube.com/channel/UC9yudInUYzMh9H4gJs4DrHg,Butterfly Spanish
UCA8VUdED3_-blWQjH7TsPhg,http://www.youtube.com/channel/UCA8VUdED3_-blWQjH7TsPhg,Favorite Videos
UCAK21X4JZXPZxLZJKDhei1A,http://www.youtube.com/channel/UCAK21X4JZXPZxLZJKDhei1A,Joe Dassin
UCAXiruFb_LUYpbKx3WbiYYg,http://www.youtube.com/channel/UCAXiruFb_LUYpbKx3WbiYYg,Platt R.
UCArZ8Ms0KMyb2KrphNl2OnQ,http://www.youtube.com/channel/UCArZ8Ms0KMyb2KrphNl2OnQ,Helena Nista
UCAuUUnT6oDeKwE6v1NGQxug,http://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,TED
UCBQZwaNPFfJ1gZ1fLZpAEGw,http://www.youtube.com/channel/UCBQZwaNPFfJ1gZ1fLZpAEGw,twenty one pilots
UCBcM2J8SHyq8GUSvrhWnwTg,http://www.youtube.com/channel/UCBcM2J8SHyq8GUSvrhWnwTg,Hocalara Geldik
UCCLCK8NeNXF8SHulVDXicMw,http://www.youtube.com/channel/UCCLCK8NeNXF8SHulVDXicMw,AVA LEE
UCCTuFofVWD9uORhQqgn-d7Q,http://www.youtube.com/channel/UCCTuFofVWD9uORhQqgn-d7Q,INA Société
UCC_JSfQlhrKeA_jNeqhLAiA,http://www.youtube.com/channel/UCC_JSfQlhrKeA_jNeqhLAiA,Robyn
UCCgLoMYIyP0U56dEhEL1wXQ,http://www.youtube.com/channel/UCCgLoMYIyP0U56dEhEL1wXQ,Chloe Ting
UCDu6XeqjGcSsT73vwzMcQrQ,http://www.youtube.com/channel/UCDu6XeqjGcSsT73vwzMcQrQ,Tammie Brown
UCE5NqkibXG8tTbz0Q0pydjw,http://www.youtube.com/channel/UCE5NqkibXG8tTbz0Q0pydjw,AKIN HOCA
UCEeg3sxrdiLHVBnqkBs3qFQ,http://www.youtube.com/channel/UCEeg3sxrdiLHVBnqkBs3qFQ,Sabahın Sultanı Seda Sayan
UCEyBnh-q5Mv_D0ySdKhxwGQ,http://www.youtube.com/channel/UCEyBnh-q5Mv_D0ySdKhxwGQ,The Wolf of Wall Street
UCF572T7F6ydlziihabFL8jA,http://www.youtube.com/channel/UCF572T7F6ydlziihabFL8jA,StreetFrench.org
UCFC8Vt3FY_7svm_SOBK5aIQ,http://www.youtube.com/channel/UCFC8Vt3FY_7svm_SOBK5aIQ,The Dick Cavett Show
UCFKE7WVJfvaHW5q283SxchA,http://www.youtube.com/channel/UCFKE7WVJfvaHW5q283SxchA,Yoga With Adriene
UCGie8GMlUo3kBKIopdvumVQ,http://www.youtube.com/channel/UCGie8GMlUo3kBKIopdvumVQ,Still Watching Netflix
UCGt7sREYlhAVbvxJaeg_aGA,http://www.youtube.com/channel/UCGt7sREYlhAVbvxJaeg_aGA,Violet Chachki
UCH58I5CfQGDuWpI-kn4kbmA,http://www.youtube.com/channel/UCH58I5CfQGDuWpI-kn4kbmA,Catie Turner
UCHC3My17J2Gm22nKZd75UBg,http://www.youtube.com/channel/UCHC3My17J2Gm22nKZd75UBg,Insta Language Online
UCHCJGsaPBB-yhCpoWtwOZFA,http://www.youtube.com/channel/UCHCJGsaPBB-yhCpoWtwOZFA,Gerçek Gündem TV
UCHSjpyIJQjFUkm8qNBOAqlA,http://www.youtube.com/channel/UCHSjpyIJQjFUkm8qNBOAqlA,Twin Bilim
UCHl8s8mIsjWcVufQkzo_1Cg,http://www.youtube.com/channel/UCHl8s8mIsjWcVufQkzo_1Cg,AMES
UCI2aWCbAUZDzZZ5a5GDtRew,http://www.youtube.com/channel/UCI2aWCbAUZDzZZ5a5GDtRew,Kelela
UCIEv3lZ_tNXHzL3ox-_uUGQ,http://www.youtube.com/channel/UCIEv3lZ_tNXHzL3ox-_uUGQ,Gordon Ramsay
UCIIW_IeiU_cHTV36opGHNag,http://www.youtube.com/channel/UCIIW_IeiU_cHTV36opGHNag,Elena Gabrielle
UCISg6B0UZg0zcUN6jkoDLNw,http://www.youtube.com/channel/UCISg6B0UZg0zcUN6jkoDLNw,ゆうか（Yuuka Sagawa）
UCJFp8uSYCjXOMnkUyb3CQ3Q,http://www.youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty
UCJZDx3z7sMvMU3Z68guQABw,http://www.youtube.com/channel/UCJZDx3z7sMvMU3Z68guQABw,Anncy Twinkle
UCJhnlRY-oKpanPGSvL8Ml8Q,http://www.youtube.com/channel/UCJhnlRY-oKpanPGSvL8Ml8Q,Learn Chinese with ChineseClass101.com
UCJjGUxqIHzezR0DUTfgL0Ew,http://www.youtube.com/channel/UCJjGUxqIHzezR0DUTfgL0Ew,Simple Soda
UCJjSDX-jUChzOEyok9XYRJQ,http://www.youtube.com/channel/UCJjSDX-jUChzOEyok9XYRJQ,Jubilee
UCJruTcTs7Gn2Tk7YC-ENeHQ,http://www.youtube.com/channel/UCJruTcTs7Gn2Tk7YC-ENeHQ,Golden Moustache (M6)
UCK3inMNRNAVUleEbpDU1k2g,http://www.youtube.com/channel/UCK3inMNRNAVUleEbpDU1k2g,SEB
UCK6TzBHhEUCKa6dgjlsVHEw,http://www.youtube.com/channel/UCK6TzBHhEUCKa6dgjlsVHEw,Learn French With Alexa
UCKijjvu6bN1c-ZHVwR7-5WA,http://www.youtube.com/channel/UCKijjvu6bN1c-ZHVwR7-5WA,BuzzFeed Unsolved Network
UCLT3CTa1uhry4IgHu9fhBAw,http://www.youtube.com/channel/UCLT3CTa1uhry4IgHu9fhBAw,Master Of BlackJack Channel 2
UCNIeTHn2TtiO8J8W3GO60Fw,http://www.youtube.com/channel/UCNIeTHn2TtiO8J8W3GO60Fw,Derya Karadeniz Cunningham
UCNepEAWZH0TBu7dkxIbluDw,http://www.youtube.com/channel/UCNepEAWZH0TBu7dkxIbluDw,"Dad, how do I?"
UCOpcACMWblDls9Z6GERVi1A,http://www.youtube.com/channel/UCOpcACMWblDls9Z6GERVi1A,Screen Junkies
UCPN-oMe_DSwCQw5y-HFuHsQ,http://www.youtube.com/channel/UCPN-oMe_DSwCQw5y-HFuHsQ,Aşk-ı Memnu
UCPUuVY7w8brL0r__P8UBgyQ,http://www.youtube.com/channel/UCPUuVY7w8brL0r__P8UBgyQ,Christopher Lum
UCQQ5UXpimsgkX2g8kxI6agA,http://www.youtube.com/channel/UCQQ5UXpimsgkX2g8kxI6agA,Tori Amos
UCQfakletOMk9zXVRSHUdyDA,http://www.youtube.com/channel/UCQfakletOMk9zXVRSHUdyDA,Solange te parle
UCQzdMyuz0Lf4zo4uGcEujFw,http://www.youtube.com/channel/UCQzdMyuz0Lf4zo4uGcEujFw,GameofThrones
UCRXiA3h1no_PFkb1JCP0yMA,http://www.youtube.com/channel/UCRXiA3h1no_PFkb1JCP0yMA,Vogue
UCRfLDCtkSwmTdwHrbmC78Xg,http://www.youtube.com/channel/UCRfLDCtkSwmTdwHrbmC78Xg,Kızılcık Şerbeti
UCRlhcfR8z_TF_Q2d4RmEHgg,http://www.youtube.com/channel/UCRlhcfR8z_TF_Q2d4RmEHgg,My Travel Project
UCRmkL-fady5fXZA02G9bVZQ,http://www.youtube.com/channel/UCRmkL-fady5fXZA02G9bVZQ,solar sound
UCSFOKAV8I9P--bxtpvOVi6Q,http://www.youtube.com/channel/UCSFOKAV8I9P--bxtpvOVi6Q,Pisagor Okulu
UCSpVHeDGr9UbREhRca0qwsA,http://www.youtube.com/channel/UCSpVHeDGr9UbREhRca0qwsA,Howcast
UCTkC3Jt91QkqNAE4FGWkEIQ,http://www.youtube.com/channel/UCTkC3Jt91QkqNAE4FGWkEIQ,The Royal Family
UCTt2AnK--mnRmICnf-CCcrw,http://www.youtube.com/channel/UCTt2AnK--mnRmICnf-CCcrw,Kevin Tran 陈科伟
UCU-GALvB9sZ3uZGPDdyrzRQ,http://www.youtube.com/channel/UCU-GALvB9sZ3uZGPDdyrzRQ,ÇUBUK Animasyon
UCUIBkpuyXKU4B6dFv32LpRg,http://www.youtube.com/channel/UCUIBkpuyXKU4B6dFv32LpRg,Julia Zelg
UCUUUpaMp8DV6KUOfQwoIiLg,http://www.youtube.com/channel/UCUUUpaMp8DV6KUOfQwoIiLg,WOWPresents
UCUZzyuAlhHNP3oiuMjn7RfQ,http://www.youtube.com/channel/UCUZzyuAlhHNP3oiuMjn7RfQ,Kitchen Nightmares
UCUcVZfL2qxHj9mMj7K062CQ,http://www.youtube.com/channel/UCUcVZfL2qxHj9mMj7K062CQ,WDD1551
UCUk7ggDv7Ts3n4443vnB_xA,http://www.youtube.com/channel/UCUk7ggDv7Ts3n4443vnB_xA,denkleinrider
UCUqqHQ4OWhcNma2ZSQunHFw,http://www.youtube.com/channel/UCUqqHQ4OWhcNma2ZSQunHFw,TheQuickSlice
UCVI-gmqb3PhWwecTigx8P7Q,http://www.youtube.com/channel/UCVI-gmqb3PhWwecTigx8P7Q,Rina Sawayama
UCVTQuK2CaWaTgSsoNkn5AiQ,http://www.youtube.com/channel/UCVTQuK2CaWaTgSsoNkn5AiQ,HBO
UCVU86dOI3dZVjQtQZ2yuOOQ,http://www.youtube.com/channel/UCVU86dOI3dZVjQtQZ2yuOOQ,Fizik Makinesi






